offset,offset_hex,value,value_hex,count,frequency,varying_global,group_counts
164,0x00A4,0,0x00,13,0.928571,true,"R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,:,...:7;R,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,:,...:1;R,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,:,...:4;R,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,:,...:1"
164,0x00A4,105,0x69,1,0.071429,true,"R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,:,...:1"
166,0x00A6,0,0x00,13,0.928571,true,"R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,:,...:7;R,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,:,...:1;R,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,:,...:4;R,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,:,...:1"
166,0x00A6,110,0x6E,1,0.071429,true,"R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,:,...:1"
168,0x00A8,0,0x00,13,0.928571,true,"R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,:,...:7;R,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,:,...:1;R,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,:,...:4;R,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,:,...:1"
168,0x00A8,100,0x64,1,0.071429,true,"R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,:,...:1"
170,0x00AA,0,0x00,13,0.928571,true,"R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,:,...:7;R,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,:,...:1;R,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,:,...:4;R,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,:,...:1"
170,0x00AA,111,0x6F,1,0.071429,true,"R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,:,...:1"
172,0x00AC,0,0x00,13,0.928571,true,"R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,:,...:7;R,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,:,...:1;R,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,:,...:4;R,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,:,...:1"
172,0x00AC,119,0x77,1,0.071429,true,"R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,:,...:1"
174,0x00AE,0,0x00,13,0.928571,true,"R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,:,...:7;R,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,:,...:1;R,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,:,...:4;R,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,:,...:1"
174,0x00AE,32,0x20,1,0.071429,true,"R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,:,...:1"
176,0x00B0,0,0x00,13,0.928571,true,"R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,:,...:7;R,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,:,...:1;R,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,:,...:4;R,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,:,...:1"
176,0x00B0,72,0x48,1,0.071429,true,"R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,:,...:1"
178,0x00B2,0,0x00,13,0.928571,true,"R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,:,...:7;R,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,:,...:1;R,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,:,...:4;R,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,:,...:1"
178,0x00B2,97,0x61,1,0.071429,true,"R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,:,...:1"
180,0x00B4,0,0x00,13,0.928571,true,"R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,:,...:7;R,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,:,...:1;R,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,:,...:4;R,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,:,...:1"
180,0x00B4,110,0x6E,1,0.071429,true,"R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,:,...:1"
182,0x00B6,0,0x00,13,0.928571,true,"R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,:,...:7;R,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,:,...:1;R,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,:,...:4;R,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,:,...:1"
182,0x00B6,100,0x64,1,0.071429,true,"R,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,:,...:1"
